216.44,1068.4,4314.92,2116,490,-15132,282.83,83.37,-13.61
-99.56,-1227.6,-5673.08,896,-28,-15550,284.65,88.24,-17.25
7.44,-1214.6,-5792.08,-280,-88,-14518,282.83,101.9,-19.07
-457.56,1035.4,-5751.08,-1726,636,-14496,279.19,113.6,-18.16
-1282.56,2162.4,-3539.08,-370,-640,-14786,270.08,122.38,-14.52
467.44,-447.6,-3760.08,-114,-1116,-14288,267.35,130.18,-14.52
-711.56,273.4,-10043.08,1204,46,-15200,259.15,141.88,-13.61
-338.56,410.4,-16111.08,-674,-1516,-14348,239.11,171.14,-9.97
-138.56,116.4,-12276.08,908,108,-14956,219.07,197.47,-8.14
-628.56,-155.6,-16029.08,850,292,-14636,192.66,221.85,-7.23
-626.56,-225.6,-14981.08,640,-588,-15024,170.8,239.4,-6.32
-637.56,54.4,-14518.08,-502,-208,-14780,137.1,259.88,-1.77
-558.56,-58.6,-18708.08,-1446,-526,-14664,101.58,274.51,-0.86
-530.56,150.4,-14676.08,904,124,-14558,67.88,285.23,1.87
582.44,159.4,-6784.08,-1092,258,-14490,38.74,290.11,3.7
-621.56,-199.6,-11781.08,966,-1454,-14458,14.14,294.01,4.61
-95.56,-439.6,-14073.08,-242,-128,-14420,-14.09,293.04,6.43
-647.56,-41.6,-17391.08,-90,-36,-14804,-49.61,288.16,9.16
-738.56,-36.6,-20013.08,-334,-24,-14748,-98.8,272.56,11.89
-362.56,-86.6,-13511.08,-366,546,-14942,-124.3,261.83,13.71
-324.56,-64.6,-15113.08,662,-332,-14626,-156.18,242.33,14.63
-397.56,-256.6,-13555.08,54,-88,-14958,-176.21,225.75,16.45
-91.56,-322.6,-13994.08,-8,-484,-14922,-202.63,199.42,17.36
-549.56,75.4,-11745.08,202,404,-14648,-219.93,181.86,17.36
-36.56,81.4,-12850.08,-254,38,-14646,-236.33,156.51,18.27
659.44,272.4,-16586.08,-408,-134,-14402,-251.81,134.08,18.27
-1780.56,-79.6,-11760.08,-498,-332,-15046,-265.47,97.02,18.27
-186.56,552.4,-9892.08,-408,-974,-14436,-274.58,70.69,18.27
-1276.56,46.4,-8041.08,56,4,-14856,-277.31,47.29,18.27
-1165.56,-34.6,-3420.08,-146,76,-14774,-280.04,27.78,19.18
-381.56,-119.6,-1499.08,-256,586,-14638,-280.04,19.98,19.18
-59.56,121.4,11.92,-32,126,-14688,-280.04,19,20.09
236.44,-261.6,-14.08,-106,60,-14708,-278.22,19,20.09
60.44,3.4,12.92,-48,172,-14718,-278.22,19,20.09
98.44,-78.6,9.92,-92,124,-14632,-278.22,19.98,21.91
-61.56,44.4,3.92,-66,68,-14624,-277.31,19.98,21
-79.56,-34.6,2.92,-54,100,-14640,-279.13,19.98,20.09
-48.56,14.4,-6.08,-72,116,-14638,-278.22,19.98,20.09
-23.56,11.4,-3.08,-90,130,-14688,-278.22,19,21
-22.56,-47.6,4.92,-82,182,-14716,-278.22,19,21.91
110.44,9.4,20.92,-52,152,-14650,-279.13,19.98,21
147.44,-43.6,332.92,-70,126,-14760,-280.04,20.95,21
145.44,-3.6,180.92,-116,48,-14648,-280.04,21.93,21
15.44,-15.6,151.92,-58,22,-14668,-278.22,23.88,20.09
21.44,46.4,94.92,-40,82,-14672,-278.22,21.93,21
-8.56,-57.6,468.92,-136,-10,-14664,-279.13,23.88,21
-7.56,63.4,342.92,-84,104,-14704,-279.13,24.86,21
-19.56,38.4,1160.92,-28,26,-14674,-278.22,26.81,21
66.44,294.4,3688.92,116,262,-14666,-279.13,31.68,20.09
505.44,-193.6,4197.92,-270,-126,-14536,-279.13,42.41,19.18
66.44,120.4,4511.92,-142,234,-14866,-277.31,55.09,18.27
196.44,-60.6,4346.92,-204,282,-14652,-275.49,65.81,19.18
26.44,-27.6,9972.92,-530,336,-14382,-270.94,85.32,18.27
